tsec,U_totV,iA,PW,m_Air,m_H2,RH_Air,RH_H2,P_Air_supply,P_H2_supply,P_Air_inlet,P_H2_inlet,T_1,T_2,T_3,T_4,T_Air_inlet,T_H2_inlet,T_Stack_inlet,T_Heater,m_Air_write,m_H2_write,Heater_power,i_write
70.617,0.89,0.112,0.1,-0.231,1.286,89.067,98.908,0.048,0.842,0.031,1.082,14.59,-64745.35,34.419,14.539,27.947,17.854,43.35,65.492,0.523,0.546,0,0.0
10742.242,0.15,0.079,0.011,6.281,1.286,100.331,93.13,0.909,0.778,1.078,0.95,16.196,-64717.687,23.634,16.36,25.289,22.418,24.084,55.847,0.523,0.546,0,0.0
33.755,0.919,0.112,0.103,-0.295,0.438,90.432,100.947,0.06,0.315,0.05,0.413,14.572,-64755.7,34.237,14.494,28.632,17.831,42.995,65.73,0.523,0.546,0,0.0
9005.351,0.875,1.05,0.918,6.217,1.323,68.756,91.6,0.909,0.994,1.103,1.022,13.896,-64295.08,27.246,13.892,30.303,17.924,35.821,64.622,0.523,0.546,0,1.0
9137.073,0.89,0.112,0.1,6.153,1.298,62.441,93.47,0.909,1.267,1.09,1.427,14.044,-64301.455,29.625,14.016,30.316,17.832,37.878,63.0,0.523,0.546,0,0.0
6268.56,0.855,2.062,1.763,6.217,1.31,60.393,86.842,0.892,1.019,1.084,1.043,13.586,-64265.068,35.48,13.585,30.749,18.247,44.574,64.887,0.523,0.546,5,2.0
3160.822,0.897,0.487,0.437,6.217,1.298,84.8,95.849,0.901,1.007,1.09,1.03,13.597,-64358.7,18.739,13.606,30.426,18.316,19.925,57.868,0.523,0.546,5,0.4
4825.548,0.89,0.862,0.767,6.217,1.31,81.045,93.81,0.892,1.013,1.084,1.043,13.82,-64298.465,35.248,13.771,30.308,18.157,44.379,65.355,0.523,0.546,0,0.8
116.333,0.862,0.112,0.097,3.6,1.274,90.773,100.777,0.515,0.842,0.614,1.082,14.54,-64732.015,34.733,14.475,27.892,17.84,43.631,65.153,0.523,0.546,0,0.0
9058.24,0.837,1.05,0.879,6.153,1.31,66.708,85.652,0.914,1.254,1.103,1.414,13.949,-64297.426,28.37,13.923,30.294,18.411,36.898,63.973,0.523,0.546,0,1.0
153.184,0.849,0.112,0.095,5.706,1.286,96.064,96.189,0.841,0.848,1.009,1.082,14.457,-64721.445,34.825,14.365,29.148,17.846,43.658,65.254,0.523,0.546,0,0.0
8525.37,0.89,0.485,0.431,6.217,1.31,61.076,87.182,0.909,1.007,1.097,1.048,13.789,-64275.327,18.287,13.786,30.303,18.135,19.389,65.102,0.523,0.546,0,0.4
164.32,0.842,0.112,0.094,5.706,1.298,96.747,96.699,0.846,0.848,1.009,1.077,14.523,-64718.122,34.8,14.439,29.32,17.804,43.677,65.044,0.523,0.546,0,0.0
6266.522,0.845,2.435,2.047,6.153,1.31,59.369,87.522,0.897,1.032,1.078,1.06,13.612,-64265.177,35.51,13.563,30.732,18.291,44.594,64.915,0.523,0.546,5,2.0
3922.972,0.64,15.037,9.624,6.281,1.286,84.629,89.731,0.884,0.981,1.065,1.013,13.85,-64323.123,32.671,13.836,30.325,18.226,41.706,65.06,0.523,0.546,0,15.0
4824.393,0.89,0.862,0.767,6.153,1.298,81.215,94.32,0.892,1.013,1.078,1.043,13.809,-64298.47,35.248,13.78,30.295,18.164,44.383,65.323,0.523,0.546,0,0.8
9055.928,0.932,0.112,0.104,6.153,1.298,62.953,88.881,0.918,1.261,1.109,1.418,13.928,-64297.347,28.308,13.949,30.29,18.422,36.876,64.008,0.523,0.546,0,-1.0
9049.642,0.937,0.112,0.105,6.217,1.31,62.953,87.692,0.918,1.242,1.103,1.405,13.907,-64296.99,28.175,13.902,30.287,18.459,36.771,64.162,0.523,0.546,0,0.0
51.185,0.907,0.112,0.102,-0.103,1.261,82.41,99.418,0.052,0.81,0.037,1.065,14.63,-64750.966,34.291,14.547,28.272,17.791,43.18,65.033,0.523,0.546,0,0.0
212.044,0.795,3.037,2.414,5.898,1.298,98.624,98.738,0.854,0.569,1.028,0.63,14.462,-64704.163,34.882,14.379,29.74,18.008,43.869,65.296,0.523,0.546,0,3.0
669.196,0.637,12.037,7.673,6.153,1.298,101.697,99.248,0.863,0.962,1.047,1.009,14.491,-64595.101,35.366,14.397,30.762,18.019,44.611,65.065,0.523,0.546,0,12.0
7702.761,0.565,15.037,8.496,6.217,1.31,61.588,87.862,0.909,0.981,1.097,1.009,13.614,-64253.442,21.288,13.585,30.661,18.983,23.07,61.122,0.523,0.546,0,15.0
9035.068,0.945,0.112,0.106,6.153,1.286,62.1,86.672,0.914,1.153,1.103,1.32,13.949,-64296.357,27.947,13.925,30.286,18.301,36.5,64.314,0.523,0.546,0,0.0
3195.983,0.847,1.05,0.89,6.153,1.31,85.482,94.829,0.892,1.007,1.084,1.035,13.842,-64357.193,18.737,13.828,30.45,18.063,19.735,60.278,0.523,0.546,5,1.0
6270.572,0.854,2.062,1.763,6.089,1.298,67.732,88.202,0.892,1.0,1.09,1.039,13.602,-64264.965,35.441,13.554,30.759,18.216,44.563,64.879,0.523,0.546,5,2.0
1310.264,0.882,0.862,0.761,6.153,1.286,101.014,93.47,0.88,1.0,1.065,1.039,14.381,-64487.212,36.263,14.328,30.834,17.755,45.1,65.48,0.523,0.546,0,0.8
1310.55,0.882,0.862,0.761,6.153,1.286,99.99,97.888,0.88,1.0,1.065,1.043,14.381,-64487.212,36.263,14.328,30.834,17.755,45.1,65.48,0.523,0.546,0,0.8
3205.145,0.849,1.05,0.892,6.217,1.298,85.482,93.98,0.892,1.0,1.084,1.03,13.816,-64356.84,18.704,13.806,30.451,18.047,19.684,60.342,0.523,0.546,5,2.0
15.467,0.93,0.112,0.104,-0.231,0.021,89.408,98.398,0.158,0.302,0.163,0.251,14.668,-64759.6,34.149,14.58,29.114,18.261,42.763,64.666,0.523,0.546,5,0.0
8999.357,0.842,2.062,1.737,6.153,1.286,60.734,91.77,0.914,0.994,1.103,1.026,13.962,-64294.848,27.076,13.922,30.309,17.931,35.65,64.638,0.523,0.546,0,2.0
1578.069,0.607,20.062,12.187,6.153,1.286,102.55,101.287,0.884,0.969,1.078,1.013,14.308,-64448.874,35.463,14.252,30.747,18.13,42.835,63.994,0.523,0.546,0,20.0
9034.216,0.947,0.112,0.106,6.217,1.274,63.295,89.391,0.914,1.146,1.103,1.312,13.941,-64296.347,27.913,13.915,30.29,18.304,36.455,64.338,0.523,0.546,0,0.0
8493.946,0.857,1.05,0.9,6.217,1.31,61.076,91.6,0.914,1.007,1.097,1.043,13.796,-64273.765,18.43,13.787,30.311,18.528,19.543,62.534,0.523,0.546,5,1.0
6297.146,0.955,0.112,0.107,6.217,1.298,59.54,89.901,0.897,0.994,1.084,1.026,13.591,-64264.525,35.402,13.586,30.76,18.026,44.47,65.223,0.523,0.546,0,0.0
